"number";"name";"description";"restriction";"fonction"
26007;"HYDROLYZED CITRUS";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"FORSYTHIA VIRIDISSIMA";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"GARDENIA FLORIDA";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"MENTHA ARVENSIS";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"ANGELICA ACUTILOBA";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"COPTIS JAPONICA";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"GLYCYRRHIZA GLABRA";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"PLATYCODON GRANDIFLORUS";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"REHMANNIA GLUTINOSA";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26007;"SCUTELLARIA BAICALENSIS";"Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.";"";"SKIN CONDITIONING"
26011;"HYDROLYZED FORSYTHIA";"Hydrolyzed Forsythia Viridissima Fruit/(Cimicifuga Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Lobata) Root Extract is the hydrolysate of an extract of the fruit of Forsythia viridissima and the roots of Cimicifuga dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , and Pueraria lobata derived by acid, enzyme, or other method of hydrolysis.";"";"SKIN PROTECTING"
26011;"CIMICIFUGA DAHURICA";"Hydrolyzed Forsythia Viridissima Fruit/(Cimicifuga Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Lobata) Root Extract is the hydrolysate of an extract of the fruit of Forsythia viridissima and the roots of Cimicifuga dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , and Pueraria lobata derived by acid, enzyme, or other method of hydrolysis.";"";"SKIN PROTECTING"
26011;"PUERARIA LOBATA";"Hydrolyzed Forsythia Viridissima Fruit/(Cimicifuga Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Lobata) Root Extract is the hydrolysate of an extract of the fruit of Forsythia viridissima and the roots of Cimicifuga dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , and Pueraria lobata derived by acid, enzyme, or other method of hydrolysis.";"";"SKIN PROTECTING"
 ;"ICTASOL";"Ichthyolic acid, sodium salt";"";"ANTIDANDRUFF, ANTIMICROBIAL"
19476;"ISOOCTANOYL TETRAPEPTIDE-25";"Isooctanoyl Tetrapeptide-25 is the product obtained by the reaction of Tetrapeptide-25 with a branched chain octanoic acid.";"";"SKIN CONDITIONING"
 ;"LACTOBACILLUS";"Lactobacillus/Germinated Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of germinated soybeans ( Glycine max ) by the microorganism, Lactobacillus.";"";""
19881;"GERMINATED SOYBEAN";"Lactobacillus/Germinated Soybean Ferment Filtrate is a filtrate of the product obtained by the fermentation of germinated soybeans ( Glycine max ) by the microorganism, Lactobacillus.";"";""
 ;"METHOXYETHANOL";"Methoxyethanol is the aliphatic ether alcohol that conforms to the formula";"II/665 CMR1b (Reprotoxic 1B)";"SOLVENT, VISCOSITY CONTROLLING"
26029;"MYRISTOYL GLYCINE";"Myristoyl Glycine/Histidine/Lysine Polypeptide is the product obtained by the reaction of myristic acid with a tripeptide consisting of gly-his-lys. The INCI Name, Myristoyl Glycine/Histidine/Lysine Polypeptide, originally developed in 1997, was designated with a retired status in 2013. For an interim period of time, trade name assignments formerly published with the name Myristoyl Glycine/Histidine/Lysine Polypeptide will be retained in the retired monograph, and also published with the new name assignment, Myristoyl Tripeptide-1.";"";"SKIN CONDITIONING"
26029;"HISTIDINE";"Myristoyl Glycine/Histidine/Lysine Polypeptide is the product obtained by the reaction of myristic acid with a tripeptide consisting of gly-his-lys. The INCI Name, Myristoyl Glycine/Histidine/Lysine Polypeptide, originally developed in 1997, was designated with a retired status in 2013. For an interim period of time, trade name assignments formerly published with the name Myristoyl Glycine/Histidine/Lysine Polypeptide will be retained in the retired monograph, and also published with the new name assignment, Myristoyl Tripeptide-1.";"";"SKIN CONDITIONING"
26029;"LYSINE POLYPEPTIDE";"Myristoyl Glycine/Histidine/Lysine Polypeptide is the product obtained by the reaction of myristic acid with a tripeptide consisting of gly-his-lys. The INCI Name, Myristoyl Glycine/Histidine/Lysine Polypeptide, originally developed in 1997, was designated with a retired status in 2013. For an interim period of time, trade name assignments formerly published with the name Myristoyl Glycine/Histidine/Lysine Polypeptide will be retained in the retired monograph, and also published with the new name assignment, Myristoyl Tripeptide-1.";"";"SKIN CONDITIONING"
 ;"NONAPEPTIDE-11";"Nonapeptide-11 is the synthetic peptide consisting of arginine, glycine, leucine, lysine, phenylalanine, proline and tyrosine";"";"ANTISEBORRHOEIC, SKIN PROTECTING"
26035;"PENTACLETHRA MACROPHYLLA";"Pentaclethra Macrophylla Seed Oil is the fixed oil expressed from the seeds of Pentaclethra macrophylla, Fabaceae.";"";"EMOLLIENT, SKIN CONDITIONING"
24561;"TRISODIUM TETRAMETHYLHEXADECENYLCYSTEINE";"Trisodium Tetramethylhexadecenylcysteine Bis-Carboxymethyl Formylamine is the organic compound that conforms to the formula";"";"SKIN PROTECTING"
26743;"AGARICUS BLAZEI";"(Agaricus Blazei Ferment + Ganoderma Lucidum Ferment + Ganoderma Multipileum Ferment) Extract is the extract of a mixture of the products obtained by the fermentation of Agaricus blazei , Ganoderma lucidum and Ganoderma multipileum.";"";"ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
20615;"CNIDIUM OFFICINALE";"(Angelica Acutiloba/Paeonia Lactiflora) Root/Cnidium Officinale Rhizome Extract is the extract of the roots of Angelica acutiloba and Paeonia lactiflora and the rhizomes of Cnidium officinale.";"";"EMOLLIENT, SKIN CONDITIONING"
19942;"COPTIS CHINENSIS";"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract is the extract of the roots of Angelica acutiloba , Paeonia lactiflora , Rehmannia glutinosa , Scutellaria baicalensis ; the rhizomes of Cnidium officinale and Coptis chinensis ; the fruit of Gardenia jasminoides and the bark of Phellodendron chinense.";"";""
19942;"GARDENIA JASMINOIDES";"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract is the extract of the roots of Angelica acutiloba , Paeonia lactiflora , Rehmannia glutinosa , Scutellaria baicalensis ; the rhizomes of Cnidium officinale and Coptis chinensis ; the fruit of Gardenia jasminoides and the bark of Phellodendron chinense.";"";""
19942;"PHELLODENDRON CHINENSE";"(Angelica Acutiloba/Paeonia Lactiflora/Rehmannia Glutinosa/Scutellaria Baicalensis) Root/(Cnidium Officinale/Coptis Chinensis) Rhizome/Gardenia Jasminoides Fruit/Phellodendron Chinense Bark Extract is the extract of the roots of Angelica acutiloba , Paeonia lactiflora , Rehmannia glutinosa , Scutellaria baicalensis ; the rhizomes of Cnidium officinale and Coptis chinensis ; the fruit of Gardenia jasminoides and the bark of Phellodendron chinense.";"";""
20260;"ANGELICA GIGAS";"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.";"";"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
20260;"GLYCYRRHIZA URALENSIS";"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.";"";"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
20260;"CARTHAMUS TINCTORIUS";"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.";"";"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
20260;"PRUNUS PERSICA";"(Angelica Gigas/Glycyrrhiza Uralensis/Rehmannia Glutinosa Root)/Angelica Gigas Stem/Carthamus Tinctorius Flower/(Carthamus Tinctorius/Prunus Persica Seed)Poria Cocos Water is the aqueous solution of the steam distillates obtained from the roots of Angelica gigas, Glycyrrhiza uralensis , and Rehmannia glutinosa ; the stems of Angelica gigas ; the flowers of Carthamus tinctorius ; the seeds of Carthamus tinctorius , and Prunus persica ; and the fungus, Poria cocos.";"";"HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING"
21214;"ANGELICA KEISKEI";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"CHRYSANTHEMUM ZAWADSKII";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"STEM";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"CINNAMOMUM CASSIA";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"TRICHOSANTES KIRILOWII";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"ULMUS DAVIDIANA";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"ROOT";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"PAEONIA JAPONICA";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"BUPLEURUM FALCATUM";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"POLYGALA TENUIFOLIA";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
21214;"VISCUS ALBUM";"(Angelica Keiskei/Chrysanthemum Zawadskii) Leaf/Stem/Cinnamomum Cassia Bark/Trichosantes Kirilowii Fruit/Ulmus Davidiana Bark/Root/(Paeonia Japonica/Bupleurum Falcatum/Polygala Tenuifolia Root)/Viscus Album Stem Extract is the extract of the leaves and stems of Angelica keiskei and Chrysanthemum zawadskii ; the bark of Cinnamomum cassia ; the fruit of Trichosantes kirilowii ; the bark and roots of Ulmus davidiana ; the roots of Paeonia japonica, Bupleurum falcatum and Polygala tenuifolia ; and the stems of Viscus album.";"";"ANTIDANDRUFF, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN PROTECTING"
 ;"APPLE";"This is the extract of the fruits of Citrus junos , Cucurbita pepo, Fragaria ananassa, Lens esculenta, Pyrus malus, Pyrus pyrifolia, and Solanum lycopersicum; the kernels of Zea mays; the leaves of Arctium lappa , Brassica oleracea acephala , Brassica oleracea capitata, Camellia sinensis , Moringa oleifera , Raphanus sativus, and Spinacia oleracea; the leaves and stems of Sorghum bicolor ; the meal of Avena sativa; the pulp of Solanum tuberosum; the roots of Daucus carota, Dioscorea oppositifolia, Nelumbo nucifera , and Raphanus sativus; the seeds of Amaranthus hypochondriacus , Anacardium occidentale, Cicer arietinum , Coix lacryma-Jobi ma-yuen , Glycine max, Macadamia ternifolia , Oryza sativa, Phaseolus angularis , Pistacia vera , Prunus amygdalus dulcis, Rhynchosia nulubilis , Sesamum indicum, Setaria italica , and Triticum turgidum; the sprouts of Hordeum vulgare ; the tubers of Cyperus esculentus ; the whole plants, Artemisia princeps , Brassica oleracea italica, Chenopodium quinoa , Enteromorpha compressa , Hordeum vulgare , Ipomoea batatas , Laminaria japonica , Lentinus edodes , Pleurotus ostreatus , Porphyra tenera , and Undaria pinnatifida.";"";"ANTIOXIDANT"
