"Name";"Accepted_name_rank";"Accepted_name_family";"Genus_matched";"Specific_epithet_matched";"Accepted_name_species";"Taxonomic_status";"Overall_score";"Source";"fonction";"restriction";"description"
"Senegalia visco";"species";"Fabaceae";"Acacia";"concinna";"Senegalia visco";"Synonym";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Acacia Concinna Fruit Extract is an extract of the fruit of Acacia concinna, Leguminosae"
"Acacia dealbata";"species";"Fabaceae";"Acacia";"dealbata";"Acacia dealbata";"Accepted";"1";"ildis;tropicos;usda";"EMOLLIENT, SKIN CONDITIONING";"";"Acacia Dealbata Flower Cera is the wax obtained from the Acacia dealbata (L.), Fabaceae"
"Acacia decurrens";"species";"Fabaceae";"Acacia";"decurrens";"Acacia decurrens";"Accepted";"1";"ildis;tropicos";"ASTRINGENT, SKIN CONDITIONING, TONIC";"";"Acacia Decurrens Extract is an extract of the sprouts of the acacia, Acacia decurrens, Leguminosae"
"Acacia mearnsii";"species";"Fabaceae";"Acacia";"mearnsii";"Acacia mearnsii";"Accepted";"1";"ildis";"SKIN CONDITIONING";"";"Acacia Mearnsii Bark Extract is the extract of the bark of Acacia mearnsii, Fabaceae"
"Acacia senegal";"species";"Fabaceae";"Acacia";"senegal";"Acacia senegal";"Accepted";"1";"tpl";"VISCOSITY CONTROLLING";"";"Acacia Senegal Flower/Stem Extract is an extract of the flowers and stems of the acacia, Acacia senegal, Leguminosae"
"Acacia victoriae";"species";"Fabaceae";"Acacia";"victoriae";"Acacia victoriae";"Accepted";"1";"ildis";"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING";"";"Acacia Victoriae Fruit Extract is an extract of the fruit of the acacia, Acacia victoriae, Fabaceae"
"Acalypha chamaedrifolia";"species";"Euphorbiaceae";"Acalypha";"reptans";"Acalypha chamaedrifolia";"Synonym";"1";"tpl";"ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Acalypha Reptans Callus Culture Extract is the extract of a culture of the callus of Acalypha reptans, Euphorbiaceae"
"Eleutherococcus nodiflorus";"species";"Araliaceae";"Acanthopanax";"gracilistylus";"Eleutherococcus nodiflorus";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"This is the filtrate of an extract of the product obtained by the fermentation of the seeds of Hordeum vulgare, Glycine max (soybean), Oryza sativa (rice), Sesamum indicum (sesame), Juglans sieboldiana, Ginkgo biloba, Canavalia gladiata, Phaseolus angularis, Coix-lachryma-Jobi Ma-yuen, Echinochloa utilis, Setaria italica, Panicum miliaceum (Millet), and Castanea sativa (chestnut); the fruits of Citrus unshiu, Vitis labrusca, Pyrus malus (apple), Vitis coignetiae, Musa paradisica (banana), Prunus persica (peach), Diospyros kaki, Carica papaya (papaya), Pyrus pyrifolia, Citrullus vulgaris (watermelon), Prunus mume, Ficus carica (fig), Chaenomeles sinensis, Cucurbita maxima, Rubus idaeus, Fortunella crassifolia, Citrus junos, Eriobotrya japonica, Prunus armeniaca (apricot), Zizyphus jujuba, Castanea crenata, Lycium chinense, Actinidia polygama, Prunus salicina, Akebia quinata, Momordica grosvenorii, Crataegus Cuneata, Cornus officinalis, Euphoria longan, and Panax ginseng; the roots of Ipomoea batatas, Daucus carota (carrot), Beta vulgaris, Raphanus sativus (radish), Brassica rapa (turnip), and Glycyrrhiza glabra; the tubers of Helianthus tuberosus, Colocasia esculenta and Saggitaria trifolia edulis; the bulbs of Allium cepa (onion), and Lilium auratum; the rhizomes of Dioscorea japonica, and Nelumbo nucifera; the leaves of Brassica oleracea capitata (cabbage), Perilla ocymoides, Morus bombycis, Laminaria japonica, Undaria pinnatifida and Rhodoglossum pulcherum; the flowers of Hemerocallis fulva kwanso; the whole plants Houttuynia cordata, Artemisia princeps; and the fruiting bodies of Grifola fondosa, Hericium Erinaceum and Lentinus edodes, by the microorganisms Acetobacter, Aspergillus, Lactobacillus, Leuconostoc, Pediococcus, Saccharomyces and Zygosaccharomyces"
"Eleutherococcus senticosus";"species";"Araliaceae";"Acanthopanax";"senticosus";"Eleutherococcus senticosus";"Synonym";"1";"tpl;usda";"ANTIMICROBIAL, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING";"";"(Lavandula Angustifolia/Melissa Officinalis/Hypericum Perforatum) Flower/(Camellia Sinensis Leaf/(Glycyrrhiza Glabra/Acanthopanax Senticosus) Root/Sarracenia Cobra Nest Leaf/Flower/Stalk Extract. This is the extract of the flowers of Lavandula angustifolia, Melissa officinalis, Hypericum perforatum , the leaves of Camellia sinensis , the roots of Glycyrrhiza glabra, Acanthopanax senticosus , and the leaves, flowers and stalk of Sarracenia 'Cobra Nest'"
"Eleutherococcus sessiliflorus";"species";"Araliaceae";"Acanthopanax";"sessiliflorus";"Eleutherococcus sessiliflorus";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"Acanthopanax Sessiliflorus Bark Extract is the extract of the bark of Acanthopanax sessiliflorus, Araliaceae."
"Eleutherococcus sieboldianus";"species";"Araliaceae";"Acanthopanax";"sieboldianus";"Eleutherococcus sieboldianus";"Synonym";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"This is the extract of the product obtained by the fermentation of the fruits of Citrus unshui, Citus japonica, Citrus junos, Pyrus malus, Musa sapientum, Carica papaya, Pyrus serotina, Diospyros kaki, Citrullus vulgaris, Prunus persica, Prunus mume, Ficus carica, Chaenomeles sinensis, Eriobotrya japonica, Prunus armeniaca, Zizyphus jujuba, Cucurbita maxima, Castanea crenata, Vitis coignetiae, Rubus idaeus, Momordica grosbenorii, Ginkgo biloba, Juglans subcordiformis, Prunus salicina, Akebia quinata, Ctataegus cuneata, Cornus officinalis, Nephelium longana , the flowers of Chamomilla recutita, Carthamus tinctorius , the seeds of Lycium chinense, Glycine max, Phaseolus angularis, Canavalia ensiformis, Oryza sativa, Hordeum vulgare, Coix lachryma-jobi, Echinochloa crus-galli, Setaria italica, Panicum miliaceum, Sesamum indicum, Cassia obtusifolia, Pinus koraiensis , roots of Ipomoea batatas, Helianthus tuberosus, Colocasia antiquorum, Dioscorea batatas, Raphanus sativus, Brassica rapa, Daucus carota sativa, Arctium lappa, Nelumbo nucifera, Lilium auratum, Glycyrrhiza glabra, Sagittaria trifolia, Smallanthus sonchifolius, Acanthopanax sieboldianus , leaves of Brassica oleracea capitata, Morus bombycis, Perilla frutescens, Sasa veitchii , bulb of Allium sativum, Allium cepa , fruiting body of Hydnum erinaceum, Grifola frondosa, Lentinus edodes, Auricularia auricula , rhizomes of Zingiber officinale, Beta vulgaris, Polygonatum odoratum, Curcuma longa , the alga, Iridea laminarioides, Laminaria japonica, Nemacystus decipiens, Undaria pinnatifida , and the whole plants, Houttuynia cordata, Artemisia princeps, Glechoma hederacea, Taraxacum officinale, Isodon japonicus, Plantago asiatica by the microorganisms, Aspergillus, Lactobacillus, Pediococcus, Saccharomyces and Zygosaccharomyces"
"Acanthosicyos horridus";"species";"Cucurbitaceae";"Acanthosicyos";"horridus";"Acanthosicyos horridus";"Accepted";"1";"tpl";"SKIN CONDITIONING, SKIN PROTECTING";"";"Acanthosicyos Horridus Seed Oil is the fixed oil expressed from the seeds of Acanthosicyos horridus, Cucurbitaceae."
"Acanthus mollis";"species";"Acanthaceae";"Acanthus";"mollis";"Acanthus mollis";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Acanthus Mollis Leaf Extract is the extract of the leaves of Acanthus mollis L., Acanthaceae"
"Acca sellowiana";"species";"Myrtaceae";"Acca";"sellowiana";"Acca sellowiana";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Acca Sellowiana Fruit Extract is the extract of the fruit of Acca sellowiana, Myrtaceae."
"Acer campestre";"species";"Sapindaceae";"Acer";"campestre";"Acer campestre";"Accepted";"1";"tpl;tropicos;usda";"EMOLLIENT";"";"Acer Campestre Bud Extract is the extract of the buds of the Maple, Acer campestre L., Sapindaceae"
"Acer pictum";"species";"Sapindaceae";"Acer";"mono";"Acer pictum";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"Acer Mono Sap is the sap obtained from Acer mono, Sapindaceae"
"Parthenocissus tricuspidata";"species";"Vitaceae";"Acer";"nikoense";"Parthenocissus tricuspidata";"Synonym";"1";"tpl";"SKIN CONDITIONING";"";"Acer Nikoense Bark Extract is the extract of the bark of Acer nikoense, Sapindaceae"
"Acer palmatum";"species";"Sapindaceae";"Acer";"palmatum";"Acer palmatum";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT";"";"Acer Palmatum Leaf Extract is an extract of the leaves of Acer Palmatum, Aceraceae"
"Acer pseudoplatanus";"species";"Sapindaceae";"Acer";"pseudoplatanus";"Acer pseudoplatanus";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";""
"Acer rubrum";"species";"Sapindaceae";"Acer";"rubrum";"Acer rubrum";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Acer Rubrum Bark Extract is the extract of the bark of Acer Rubrum, Aceraceae."
"Acer saccharum";"species";"Sapindaceae";"Acer";"saccharum";"Acer saccharum";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Acer Saccharum (Sugar Maple) Extract is the extract of the sugar maple, Acer saccharum, Aceraceae"
"Acer tegmentosum";"species";"Sapindaceae";"Acer";"tegmentosum";"Acer tegmentosum";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING, SKIN PROTECTING";"";"Acer Tegmentosum Stem Extract is the extract of the stems of Acer tegmentosum, Aceraceae"
"Achillea asiatica";"species";"Asteraceae";"Achillea";"asiatica";"Achillea asiatica";"Accepted";"1";"gcc;tropicos";"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING";"";"Achillea Asiatica Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of Achillea asiatica, Asteraceae."
"Achillea millefolium";"species";"Asteraceae";"Achillea";"millefolium";"Achillea millefolium";"Accepted";"1";"tpl";"HAIR DYEING";"";"This is the extract of the flowers of Calendula officinalis , and Carthamus tinctorius (safflower); the flower, leaves and stems of Achillea millefolium ; the fruits of Vaccinium myrtillus , and Vitex agnus-castus ; the gall of Rhus chinensis ; the husks of Juglans regia (walnut); the leaves of Camellia sinensis , and Urtica dioica (nettle); the leaves and stems of Juniperus communis ; the nuts of Aesculus hippocastanum (horse chestnut); the roots of Dichroa febrifuga ; the seeds of Vitis vinifera (grape); the whole plants, Hypericum perforatum , and Solidago virgaurea (goldenrod)."
"Manilkara zapota";"species";"Sapotaceae";"Achras";"sapota";"Manilkara zapota";"Synonym";"1";"tpl";"HAIR CONDITIONING";"";"Achras Sapota Fruit/Seed Extract is an extract obtained from the fruits and seeds of the Sapodilla, Achras sapota L., Sapotaceae"
"Achyranthes bidentata";"species";"Amaranthaceae";"Achyranthes";"bidentata";"Achyranthes bidentata";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Achyranthes Bidentata Root Extract is the extract of the roots of Achyranthes bidentata, Amaranthaceae"
"Achyrocline satureioides";"species";"Asteraceae";"Achyrocline";"satureioides";"Achyrocline satureioides";"Accepted";"1";"gcc;tropicos";"MASKING, SKIN CONDITIONING";"";"Achyrocline Satureioides Flower Extract is an extract obtained from the flowers of Achyrocline satureioides, Asteraceae"
"Acinos alpinus";"species";"Lamiaceae";"Acinos";"alpinus";"Acinos alpinus";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Acinos Alpinus Extract is the extract of the whole plant, Acinos alpinus, Laminaceae."
"Acmella oleracea";"species";"Asteraceae";"Acmella";"oleracea";"Acmella oleracea";"Accepted";"1";"gcc";"SKIN PROTECTING";"";"Acmella Oleracea Extract is the extract of the aerial parts of Acmella oleracea, Asteraceae"
"Aconitum austrokoreense";"species";"Ranunculaceae";"Aconitum";"austrokoreense";"Aconitum austrokoreense";"Accepted";"1";"tpl";"EMOLLIENT, SKIN CONDITIONING";"";"Aconitum Austrokoreense Flower Extract is the extract of the flowers of Aconitum austrokoreense"
"Acorus calamus";"species";"Acoraceae";"Acorus";"calamus";"Acorus calamus";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT, HAIR CONDITIONING, SKIN PROTECTING";"";"Acorus Calamus Callus Culture Extract is the extract of a culture of the callus cells of Acorus calamus L., Acoraceae"
"Acorus gramineus";"species";"Acoraceae";"Acorus";"gramineus";"Acorus gramineus";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";""
"Acrocomia aculeata";"species";"Arecaceae";"Acrocomia";"aculeata";"Acrocomia aculeata";"Accepted";"1";"tpl;tropicos";"EMOLLIENT";"";"Acrocomia Aculeata Seed Butter is the fat obtained from the seeds of Acrocomia aculeata, Arecaceae"
"Acronychia acidula";"species";"Rutaceae";"Acronychia";"acidula";"Acronychia acidula";"Accepted";"1";"tpl";"ANTISTATIC, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING";"";"Acronychia Acidula Fruit Extract is an extract of the fruit of Acronychia acidula, Rutaceae"
"Acronychia pedunculata";"species";"Rutaceae";"Acronychia";"pedunculata";"Acronychia pedunculata";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Acronychia Pedunculata Bark Extract is the extract of the bark of Acronychia pedunculata (L.), Rutaceae"
"Actaea dahurica";"species";"Ranunculaceae";"Actaea";"dahurica";"Actaea dahurica";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Forsythia Viridissima Fruit/(Actaea Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Montana) Root Extract is the extract of the fruit of Forsythia viridissima and the roots of Actaea dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus and Pueraria montana."
"Actaea heracleifolia";"species";"Ranunculaceae";"Actaea";"heracleifolia";"Actaea heracleifolia";"Accepted";"1";"tpl";"ANTIOXIDANT, SKIN CONDITIONING";"";"Actaea Heracleifolia Root Extract is the extract of the roots of Actaea heracleifolia, Ranunculaceae."
"Actinidia arguta";"species";"Actinidiaceae";"Actinidia";"arguta";"Actinidia arguta";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Actinidia Arguta Fruit Extract is an extract of the fruit of Actinidia arguta, Actinidiaceae"
"Actinidia chinensis";"species";"Actinidiaceae";"Actinidia";"chinensis";"Actinidia chinensis";"Accepted";"1";"tpl;tropicos;usda";"HAIR CONDITIONING, SKIN CONDITIONING";"";"Actinidia Chinensis Fruit is the plant material derived from the fruit of the kiwi, Actinidia chinensis, Actinidiaceae"
"Actinidia deliciosa";"species";"Actinidiaceae";"Actinidia";"deliciosa";"Actinidia deliciosa";"Accepted";"1";"tpl";"EMOLLIENT, SKIN CONDITIONING";"";"Actinidia Deliciosa Fruit is the fruit derived from the kiwi, Actinidia Deliciosa, Actinidiaceae"
"Actinidia polygama";"species";"Actinidiaceae";"Actinidia";"polygama";"Actinidia polygama";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"This is the extract of the product obtained by the fermentation of the fruits of Citrus unshui, Citus japonica, Citrus junos, Pyrus malus, Musa sapientum, Carica papaya, Pyrus serotina, Diospyros kaki, Citrullus vulgaris, Prunus persica, Prunus mume, Ficus carica, Chaenomeles sinensis, Eriobotrya japonica, Prunus armeniaca, Zizyphus jujuba, Cucurbita maxima, Castanea crenata, Vitis coignetiae, Rubus idaeus, Momordica grosbenorii, Ginkgo biloba, Juglans subcordiformis, Prunus salicina, Akebia quinata, Ctataegus cuneata, Cornus officinalis, Nephelium longana , the flowers of Chamomilla recutita, Carthamus tinctorius , the seeds of Lycium chinense, Glycine max, Phaseolus angularis, Canavalia ensiformis, Oryza sativa, Hordeum vulgare, Coix lachryma-jobi, Echinochloa crus-galli, Setaria italica, Panicum miliaceum, Sesamum indicum, Cassia obtusifolia, Pinus koraiensis , roots of Ipomoea batatas, Helianthus tuberosus, Colocasia antiquorum, Dioscorea batatas, Raphanus sativus, Brassica rapa, Daucus carota sativa, Arctium lappa, Nelumbo nucifera, Lilium auratum, Glycyrrhiza glabra, Sagittaria trifolia, Smallanthus sonchifolius, Acanthopanax sieboldianus , leaves of Brassica oleracea capitata, Morus bombycis, Perilla frutescens, Sasa veitchii , bulb of Allium sativum, Allium cepa , fruiting body of Hydnum erinaceum, Grifola frondosa, Lentinus edodes, Auricularia auricula , rhizomes of Zingiber officinale, Beta vulgaris, Polygonatum odoratum, Curcuma longa , the alga, Iridea laminarioides, Laminaria japonica, Nemacystus decipiens, Undaria pinnatifida , and the whole plants, Houttuynia cordata, Artemisia princeps, Glechoma hederacea, Taraxacum officinale, Isodon japonicus, Plantago asiatica by the microorganisms, Aspergillus, Lactobacillus, Pediococcus, Saccharomyces and Zygosaccharomyces"
"Actiniopteris dichotoma";"species";"Pteridaceae";"Actiniopteris";"dichotoma";"Actiniopteris dichotoma";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Actiniopteris Dichotoma Extract is the extract of the whole plant, Actiniopteris dichotoma, Pteridaceae"
"Adansonia digitata";"species";"Malvaceae";"Adansonia";"digitata";"Adansonia digitata";"Accepted";"1";"tpl;tropicos;usda";"EMOLLIENT";"";"Adansonia Digitata Fruit Extract is the extract of the fruits of the Monkey Bread Tree or the Baobab, Adansonia digitata L., Bombacaceae"
"Adansonia grandidieri";"species";"Malvaceae";"Adansonia";"grandidieri";"Adansonia grandidieri";"Accepted";"1";"tpl;tropicos";"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Adansonia Grandidieri Seed Oil is the fixed oil expressed from the seeds of Adansonia grandidieri, Malvaceae."
"Adenanthera pavonina";"species";"Fabaceae";"Adenanthera";"pavonina";"Adenanthera pavonina";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Adenanthera Pavonina Extract is an extract of the whole plant, Adenanthera pavonina L., Mimoaceae"
"Adenium obesum";"species";"Apocynaceae";"Adenium";"obesum";"Adenium obesum";"Accepted";"1";"tpl;tropicos;usda";"ANTIOXIDANT, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING";"";"Adenium Obesum Callus Culture Extract is the extract of a culture of the callus of Adenium obesum, Apocynaceae"
"Adenophora stricta";"species";"Campanulaceae";"Adenophora";"stricta";"Adenophora stricta";"Accepted";"1";"tpl;tropicos";"HUMECTANT, SKIN CONDITIONING";"";"Adenophora stricta root extract is an extract of the roots of Adenophora Stricta"
"Adenophora taquetii";"species";"Campanulaceae";"Adenophora";"taquetii";"Adenophora taquetii";"Accepted";"1";"tpl";"ANTIOXIDANT";"";"Adenophora Taquetii Extract is the extract of the whole plant, Adenophora taquetii."
"Adesmia boronioides";"species";"Fabaceae";"Adesmia";"boronioides";"Adesmia boronioides";"Accepted";"1";"ildis";"FLAVOURING, MASKING, PERFUMING";"";"Adesmia Boronioides Flower/Leaf/Stem Oil is the volatile oil obtained from the flowers, leaves and stems of Adesmia boronioides, Fabaceae"
"Adiantum capillus-veneris";"species";"Pteridaceae";"Adiantum";"capillus";"Adiantum capillus-veneris";"Synonym";"1";"tpl;tropicos";"ANTIDANDRUFF, ASTRINGENT, HAIR WAVING OR STRAIGHTENING, SKIN CONDITIONING";"";"Adiantum Capillus Veneris leaf Extract is an extract of the leaves of the Maiden Hair Fern, Adiantum capillus veneris L., Polypodiaceae"
"Adiantum pedatum";"species";"Pteridaceae";"Adiantum";"pedatum";"Adiantum pedatum";"Accepted";"1";"tpl;tropicos;usda";"HAIR CONDITIONING, SKIN CONDITIONING";"";"Adiantum Pedatum is the herb obtained from the whole dried plant, Adiantum pedatum L., Polypodiaceae"
"Adina rubella";"species";"Rubiaceae";"Adina";"rubella";"Adina rubella";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Adina Rubella Flower/Leaf/Stem Extract is the extract of the flowers, leaves, and stems of Adina rubella, Rubiaceae."
"Adonis amurensis";"species";"Ranunculaceae";"Adonis";"amurensis";"Adonis amurensis";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Adonis Amurensis Extract is the extract of the whole plant, Adonis amurensis, Ranunculaceae"
"Adonis palaestina";"species";"Ranunculaceae";"Adonis";"palaestina";"Adonis palaestina";"Accepted";"1";"tpl";"HAIR CONDITIONING, SKIN CONDITIONING";"";"Adonis Palaestina Flower Extract is the extract of the flowers of Adonis palestina, Ranunculaceae"
"Aegle marmelos";"species";"Rutaceae";"Aegle";"marmelos";"Aegle marmelos";"Accepted";"1";"tpl;tropicos";"SKIN CONDITIONING";"";"Aegle Marmelos Bark Extract is the extract of the bark of Aegle marmelos."
"Aegopodium podagraria";"species";"Apiaceae";"Aegopodium";"podagraria";"Aegopodium podagraria";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Aegopodium Podagraria Extract is an extract of the flowering herb of the Goatweed, Aegopodium podagraria L., Apiaceae"
"Aeollanthus suaveolens";"species";"Lamiaceae";"Aeollanthus";"suaveolens";"Aeollanthus suaveolens";"Accepted";"1";"tpl;tropicos";"ANTIMICROBIAL, FLAVOURING, MASKING";"";"Aeollanthus Suaveonlens Leaf Oil is the volatile oil obtained from the leaves of Aeollanthus suaveonlens, Lamiaceae"
"Aerangis fastuosa";"species";"Orchidaceae";"Aerangis";"fastuosa";"Aerangis fastuosa";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Aerangis Fastuosa Callus Powder is the powder obtained from the dried, ground callus of Aerangis fastuosa grown in culture, Orchidaceae."
"Aerva javanica";"species";"Amaranthaceae";"Aerva";"javanica";"Aerva javanica";"Accepted";"1";"tpl";"SKIN PROTECTING";"";"Aerva Javanica Flower/Leaf/Stem Extract is the extract of the flowers, leaves and stems of Aerva javanica."
"Aerva lanata";"species";"Amaranthaceae";"Aerva";"lanata";"Aerva lanata";"Accepted";"1";"tpl";"SKIN CONDITIONING";"";"Aerva Lanata Extract is an extract of the whole plant Aerva lanata, Amaranthaceae"
"Aesculus chinensis";"species";"Sapindaceae";"Aesculus";"chinensis";"Aesculus chinensis";"Accepted";"1";"tpl;tropicos";"ASTRINGENT, TONIC";"";"Aesculus Chinensis Extract is an extract of the herb of Aesculus chinensis, Hippocastanaceae"
"Aesculus hippocastanum";"species";"Sapindaceae";"Aesculus";"hippocastanum";"Aesculus hippocastanum";"Accepted";"1";"tpl;tropicos;usda";"ASTRINGENT, SKIN CONDITIONING, TONIC";"";"Aesculus Hippocastanum Bark Extract is an extract of the bark of the Horse Chestnut, Aesculus hippocastanum L., Hippocastanaceae"
"Aesculus turbinata";"species";"Sapindaceae";"Aesculus";"turbinata";"Aesculus turbinata";"Accepted";"1";"tpl;tropicos;usda";"SKIN CONDITIONING";"";"Aesculus Turbinata Bark is the plant material obtained from the dried, cut bark of the Chestnut, Aesculus turbinata, Hippocastanaceae"
"Aetoxylon sympetalum";"species";"Thymelaeaceae";"Aetoxylon";"sympetalum";"Aetoxylon sympetalum";"Accepted";"1";"tpl;tropicos";"MASKING";"";"Aetoxylon Sympetalum Wood Oil is the volatile oil obtained from the wood of Aetoxylon sympetalum"
"Aframomum angustifolium";"species";"Zingiberaceae";"Aframomum";"angustifolium";"Aframomum angustifolium";"Accepted";"1";"tpl";"ANTIMICROBIAL, ANTIOXIDANT, FLAVOURING, MASKING, PERFUMING";"";"Aframomum Angustifolium Leaf Oil is the volatile oil obtained from the leaves of Aframomum angustifolium, Zingiberaceae"
